County,State,State_FIPS,County_FIPS,asian_population
Autauga County,Alabama,01,001,42577
Baldwin County,Alabama,01,003,155068
Barbour County,Alabama,01,005,13576
Bibb County,Alabama,01,007,17437
Blount County,Alabama,01,009,54446
Bullock County,Alabama,01,011,3115
Butler County,Alabama,01,013,11428
Calhoun County,Alabama,01,015,88450
Chambers County,Alabama,01,017,20299
Cherokee County,Alabama,01,019,23948
Chilton County,Alabama,01,021,37978
Choctaw County,Alabama,01,023,7738
Clarke County,Alabama,01,025,14327
Clay County,Alabama,01,027,11431
Cleburne County,Alabama,01,029,14077
Coffee County,Alabama,01,031,38158
Colbert County,Alabama,01,033,44084
Conecuh County,Alabama,01,035,6874
Coosa County,Alabama,01,037,7604
Covington County,Alabama,01,039,31981
Crenshaw County,Alabama,01,041,10177
Cullman County,Alabama,01,043,76905
Dale County,Alabama,01,045,37367
Dallas County,Alabama,01,047,12981
DeKalb County,Alabama,01,049,64659
Elmore County,Alabama,01,051,59687
Escambia County,Alabama,01,053,23975
Etowah County,Alabama,01,055,85609
Fayette County,Alabama,01,057,15051
Franklin County,Alabama,01,059,27803
Geneva County,Alabama,01,061,23305
Greene County,Alabama,01,063,1644
Hale County,Alabama,01,065,6379
Henry County,Alabama,01,067,11835
Houston County,Alabama,01,069,70453
Jackson County,Alabama,01,071,49037
Jefferson County,Alabama,01,073,354221
Lamar County,Alabama,01,075,12744
Lauderdale County,Alabama,01,077,80551
Lawrence County,Alabama,01,079,26656
Lee County,Alabama,01,081,99714
Limestone County,Alabama,01,083,66848
Lowndes County,Alabama,01,085,2942
Macon County,Alabama,01,087,3341
Madison County,Alabama,01,089,229229
Marengo County,Alabama,01,091,9698
Marion County,Alabama,01,093,28735
Marshall County,Alabama,01,095,85960
Mobile County,Alabama,01,097,250378
Monroe County,Alabama,01,099,12829
Montgomery County,Alabama,01,101,95015
Morgan County,Alabama,01,103,97473
Perry County,Alabama,01,105,3181
Pickens County,Alabama,01,107,11277
Pike County,Alabama,01,109,19072
Randolph County,Alabama,01,111,17581
Russell County,Alabama,01,113,28495
Saint Clair County,Alabama,01,115,73362
Shelby County,Alabama,01,117,161026
Sumter County,Alabama,01,119,3397
Talladega County,Alabama,01,121,53876
Tallapoosa County,Alabama,01,123,29486
Tuscaloosa County,Alabama,01,125,128912
Walker County,Alabama,01,127,61733
Washington County,Alabama,01,129,11441
Wilcox County,Alabama,01,131,3177
Winston County,Alabama,01,133,23744
Anchorage Municipality,Alaska,02,020,193404
Bethel Census Area,Alaska,02,050,2032
Bristol Bay Borough,Alaska,02,060,548
Fairbanks North Star Borough,Alaska,02,090,74613
Haines Borough,Alaska,02,100,2063
Juneau City and Borough,Alaska,02,110,21842
Kenai Peninsula Borough,Alaska,02,122,46520
Kodiak Island Borough,Alaska,02,150,7702
Matanuska-Susitna Borough,Alaska,02,170,74058
Nome Census Area,Alaska,02,180,1580
North Slope Borough,Alaska,02,185,2878
Sitka City and Borough,Alaska,02,220,5992
Southeast Fairbanks Census Area,Alaska,02,240,5687
Valdez-Cordova Census Area,Alaska,02,261,6884
Wade Hampton Census Area,Alaska,02,270,251
Northwest Arctic Borough,Alaska,02,188,887
Aleutians East Borough,Alaska,02,013,689
Aleutians West Census Area,Alaska,02,016,2053
Dillingham Census Area,Alaska,02,070,911
Lake and Peninsula Borough,Alaska,02,164,529
Denali Borough,Alaska,02,068,1556
Yukon-Koyukuk Census Area,Alaska,02,290,1246
Hoonah-Angoon Census Area,Alaska,02,105,1021
Skagway Municipality,Alaska,02,230,911
Yakutat City and Borough,Alaska,02,282,281
Ketchikan Gateway Borough,Alaska,02,130,9158
Petersburg Borough,Alaska,02,195,2782
Prince of Wales-Hyder Census Area,Alaska,02,198,2773
Wrangell City and Borough,Alaska,02,275,1653
Apache County,Arizona,04,001,17362
Cochise County,Arizona,04,003,105856
Coconino County,Arizona,04,005,82239
Gila County,Arizona,04,007,42228
Graham County,Arizona,04,009,26565
Greenlee County,Arizona,04,011,6995
Maricopa County,Arizona,04,013,3064635
Mohave County,Arizona,04,015,180346
Navajo County,Arizona,04,017,52228
Pima County,Arizona,04,019,757116
Pinal County,Arizona,04,021,266371
Santa Cruz County,Arizona,04,023,32110
Yavapai County,Arizona,04,025,191952
La Paz County,Arizona,04,012,14563
Yuma County,Arizona,04,027,146975
Arkansas County,Arkansas,05,001,13841
Ashley County,Arkansas,05,003,15147
Baxter County,Arkansas,05,005,40320
Benton County,Arkansas,05,007,184637
