County,State,State_FIPS,County_FIPS,asian_population
Autauga County,Alabama,01,001,42527.0
Baldwin County,Alabama,01,003,183471.0
Barbour County,Alabama,01,005,11869.0
Bibb County,Alabama,01,007,17272.0
Blount County,Alabama,01,009,55062.0
Bullock County,Alabama,01,011,2244.0
Butler County,Alabama,01,013,10280.0
Calhoun County,Alabama,01,015,84439.0
Chambers County,Alabama,01,017,19423.0
Cherokee County,Alabama,01,019,24052.0
Chilton County,Alabama,01,021,36835.0
Choctaw County,Alabama,01,023,7337.0
Clarke County,Alabama,01,025,12781.0
Clay County,Alabama,01,027,11092.0
Cleburne County,Alabama,01,029,14000.0
Coffee County,Alabama,01,031,39118.0
Colbert County,Alabama,01,033,43289.0
Conecuh County,Alabama,01,035,6287.0
Coosa County,Alabama,01,037,7078.0
Covington County,Alabama,01,039,31460.0
Crenshaw County,Alabama,01,041,9879.0
Cullman County,Alabama,01,043,78804.0
Dale County,Alabama,01,045,35655.0
Dallas County,Alabama,01,047,10906.0
DeKalb County,Alabama,01,049,60924.0
Elmore County,Alabama,01,051,61104.0
Escambia County,Alabama,01,053,23053.0
Etowah County,Alabama,01,055,82027.0
Fayette County,Alabama,01,057,14068.0
Franklin County,Alabama,01,059,26118.0
Geneva County,Alabama,01,061,22870.0
Greene County,Alabama,01,063,1439.0
Hale County,Alabama,01,065,5854.0
Henry County,Alabama,01,067,12118.0
Houston County,Alabama,01,069,72344.0
Jackson County,Alabama,01,071,47456.0
Jefferson County,Alabama,01,073,341768.0
Lamar County,Alabama,01,075,12154.0
Lauderdale County,Alabama,01,077,80436.0
Lawrence County,Alabama,01,079,25799.0
Lee County,Alabama,01,081,113359.0
Limestone County,Alabama,01,083,76003.0
Lowndes County,Alabama,01,085,2497.0
Macon County,Alabama,01,087,3000.0
Madison County,Alabama,01,089,246132.0
Marengo County,Alabama,01,091,8840.0
Marion County,Alabama,01,093,27739.0
Marshall County,Alabama,01,095,88969.0
Mobile County,Alabama,01,097,242715.0
Monroe County,Alabama,01,099,11587.0
Montgomery County,Alabama,01,101,81265.0
Morgan County,Alabama,01,103,95265.0
Perry County,Alabama,01,105,2737.0
Pickens County,Alabama,01,107,11477.0
Pike County,Alabama,01,109,19301.0
Randolph County,Alabama,01,111,17452.0
Russell County,Alabama,01,113,28519.0
Saint Clair County,Alabama,01,115,76774.0
Shelby County,Alabama,01,117,170998.0
Sumter County,Alabama,01,119,3229.0
Talladega County,Alabama,01,121,51398.0
Tallapoosa County,Alabama,01,123,28360.0
Tuscaloosa County,Alabama,01,125,133130.0
Walker County,Alabama,01,127,58077.0
Washington County,Alabama,01,129,10972.0
Wilcox County,Alabama,01,131,2915.0
Winston County,Alabama,01,133,22845.0
Anchorage Municipality,Alaska,02,020,183741.0
Bethel Census Area,Alaska,02,050,2022.0
Bristol Bay Borough,Alaska,02,060,461.0
Fairbanks North Star Borough,Alaska,02,090,74722.0
Haines Borough,Alaska,02,100,2055.0
Juneau City and Borough,Alaska,02,110,21917.0
Kenai Peninsula Borough,Alaska,02,122,48218.0
Kodiak Island Borough,Alaska,02,150,7359.0
Matanuska-Susitna Borough,Alaska,02,170,87323.0
Nome Census Area,Alaska,02,180,1555.0
North Slope Borough,Alaska,02,185,3077.0
Sitka City and Borough,Alaska,02,220,5554.0
Southeast Fairbanks Census Area,Alaska,02,240,5257.0
Valdez-Cordova Census Area,Alaska,02,261,6633.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,870.0
Aleutians East Borough,Alaska,02,013,510.0
Aleutians West Census Area,Alaska,02,016,1660.0
Dillingham Census Area,Alaska,02,070,866.0
Lake and Peninsula Borough,Alaska,02,164,293.0
Denali Borough,Alaska,02,068,1892.0
Yukon-Koyukuk Census Area,Alaska,02,290,1223.0
Hoonah-Angoon Census Area,Alaska,02,105,986.0
Skagway Municipality,Alaska,02,230,940.0
Yakutat City and Borough,Alaska,02,282,293.0
Ketchikan Gateway Borough,Alaska,02,130,9178.0
Petersburg Borough,Alaska,02,195,2480.0
Prince of Wales-Hyder Census Area,Alaska,02,198,3056.0
Wrangell City and Borough,Alaska,02,275,1577.0
Apache County,Arizona,04,001,16328.0
Cochise County,Arizona,04,003,107581.0
Coconino County,Arizona,04,005,90333.0
Gila County,Arizona,04,007,41171.0
Graham County,Arizona,04,009,30366.0
Greenlee County,Arizona,04,011,8715.0
Maricopa County,Arizona,04,013,3360305.0
Mohave County,Arizona,04,015,187413.0
Navajo County,Arizona,04,017,51496.0
Pima County,Arizona,04,019,781004.0
Pinal County,Arizona,04,021,345754.0
Santa Cruz County,Arizona,04,023,39840.0
Yavapai County,Arizona,04,025,208248.0
La Paz County,Arizona,04,012,16035.0
Yuma County,Arizona,04,027,159864.0
Arkansas County,Arkansas,05,001,12921.0
Ashley County,Arkansas,05,003,14682.0
Baxter County,Arkansas,05,005,40058.0
Benton County,Arkansas,05,007,232718.0
Boone County,Arkansas,05,009,35900.0
Bradley County,Arkansas,05,011,7164.0
Calhoun County,Arkansas,05,013,3957.0
Carroll County,Arkansas,05,015,25765.0
Chicot County,Arkansas,05,017,4614.0
Clark County,Arkansas,05,019,15720.0
Clay County,Arkansas,05,021,14275.0
Cleburne County,Arkansas,05,023,24327.0
Cleveland County,Arkansas,05,025,6970.0
Columbia County,Arkansas,05,027,14396.0
Conway County,Arkansas,05,029,17760.0
Craighead County,Arkansas,05,031,84590.0
Crawford County,Arkansas,05,033,55246.0
Crittenden County,Arkansas,05,035,21168.0
Cross County,Arkansas,05,037,12380.0
Dallas County,Arkansas,05,039,3888.0
Desha County,Arkansas,05,041,5710.0
Drew County,Arkansas,05,043,12611.0
Faulkner County,Arkansas,05,045,101450.0
Franklin County,Arkansas,05,047,16682.0
Fulton County,Arkansas,05,049,11736.0
Garland County,Arkansas,05,051,84807.0
Grant County,Arkansas,05,053,17180.0
Greene County,Arkansas,05,055,42557.0
Hempstead County,Arkansas,05,057,12523.0
Hot Spring County,Arkansas,05,059,28434.0
Howard County,Arkansas,05,061,8967.0
Independence County,Arkansas,05,063,34101.0
Izard County,Arkansas,05,065,12751.0
Jackson County,Arkansas,05,067,13230.0
Jefferson County,Arkansas,05,069,27475.0
Johnson County,Arkansas,05,071,24056.0
Lafayette County,Arkansas,05,073,4077.0
Lawrence County,Arkansas,05,075,15992.0
Lee County,Arkansas,05,077,3949.0
Lincoln County,Arkansas,05,079,8872.0
Little River County,Arkansas,05,081,9124.0
Logan County,Arkansas,05,083,19887.0
Lonoke County,Arkansas,05,085,64339.0
Madison County,Arkansas,05,087,15176.0
Marion County,Arkansas,05,089,15820.0
Miller County,Arkansas,05,091,30408.0
Mississippi County,Arkansas,05,093,25411.0
Monroe County,Arkansas,05,095,3847.0
Montgomery County,Arkansas,05,097,8247.0
Nevada County,Arkansas,05,099,5247.0
Newton County,Arkansas,05,101,7356.0
Ouachita County,Arkansas,05,103,13582.0
Perry County,Arkansas,05,105,9963.0
Phillips County,Arkansas,05,107,6719.0
Pike County,Arkansas,05,109,9774.0
Poinsett County,Arkansas,05,111,21113.0
Polk County,Arkansas,05,113,18409.0
Pope County,Arkansas,05,115,58162.0
Prairie County,Arkansas,05,117,7020.0
Pulaski County,Arkansas,05,119,219763.0
Randolph County,Arkansas,05,121,16842.0
Saint Francis County,Arkansas,05,123,10630.0
Saline County,Arkansas,05,125,105610.0
Scott County,Arkansas,05,127,9239.0
Searcy County,Arkansas,05,129,7374.0
Sebastian County,Arkansas,05,131,93752.0
Sevier County,Arkansas,05,133,10744.0
Sharp County,Arkansas,05,135,16284.0
Stone County,Arkansas,05,137,12044.0
Union County,Arkansas,05,139,25201.0
Van Buren County,Arkansas,05,141,15816.0
Washington County,Arkansas,05,143,179292.0
White County,Arkansas,05,145,71754.0
Woodruff County,Arkansas,05,147,4563.0
Yell County,Arkansas,05,149,16873.0
Alameda County,California,06,001,670364.0
Alpine County,California,06,003,599.0
Amador County,California,06,005,33327.0
Butte County,California,06,007,184180.0
Calaveras County,California,06,009,41173.0
Colusa County,California,06,011,18949.0
Contra Costa County,California,06,013,637904.0
Del Norte County,California,06,015,20581.0
El Dorado County,California,06,017,165234.0
Fresno County,California,06,019,639985.0
Glenn County,California,06,021,22685.0
Humboldt County,California,06,023,108557.0
Imperial County,California,06,025,117658.0
Inyo County,California,06,027,14170.0
Kern County,California,06,029,660147.0
Kings County,California,06,031,102062.0
Lake County,California,06,033,49389.0
Lassen County,California,06,035,25324.0
Los Angeles County,California,06,037,5168443.0
Madera County,California,06,039,108100.0
Marin County,California,06,041,202313.0
