County,State,State_FIPS,County_FIPS,asian_population
Autauga County,Alabama,01,001,42741.0
Baldwin County,Alabama,01,003,168646.0
Barbour County,Alabama,01,005,12756.0
Bibb County,Alabama,01,007,17327.0
Blount County,Alabama,01,009,54881.0
Bullock County,Alabama,01,011,2845.0
Butler County,Alabama,01,013,11023.0
Calhoun County,Alabama,01,015,87615.0
Chambers County,Alabama,01,017,19652.0
Cherokee County,Alabama,01,019,24167.0
Chilton County,Alabama,01,021,36828.0
Choctaw County,Alabama,01,023,7487.0
Clarke County,Alabama,01,025,13427.0
Clay County,Alabama,01,027,11065.0
Cleburne County,Alabama,01,029,14098.0
Coffee County,Alabama,01,031,39067.0
Colbert County,Alabama,01,033,43311.0
Conecuh County,Alabama,01,035,6710.0
Coosa County,Alabama,01,037,7427.0
Covington County,Alabama,01,039,31954.0
Crenshaw County,Alabama,01,041,9966.0
Cullman County,Alabama,01,043,77478.0
Dale County,Alabama,01,045,37232.0
Dallas County,Alabama,01,047,12085.0
DeKalb County,Alabama,01,049,61415.0
Elmore County,Alabama,01,051,60989.0
Escambia County,Alabama,01,053,23303.0
Etowah County,Alabama,01,055,84312.0
Fayette County,Alabama,01,057,14454.0
Franklin County,Alabama,01,059,27924.0
Geneva County,Alabama,01,061,23195.0
Greene County,Alabama,01,063,1547.0
Hale County,Alabama,01,065,6097.0
Henry County,Alabama,01,067,12140.0
Houston County,Alabama,01,069,72170.0
Jackson County,Alabama,01,071,48087.0
Jefferson County,Alabama,01,073,347760.0
Lamar County,Alabama,01,075,12350.0
Lauderdale County,Alabama,01,077,80613.0
Lawrence County,Alabama,01,079,25978.0
Lee County,Alabama,01,081,105518.0
Limestone County,Alabama,01,083,71980.0
Lowndes County,Alabama,01,085,2739.0
Macon County,Alabama,01,087,3370.0
Madison County,Alabama,01,089,238799.0
Marengo County,Alabama,01,091,9482.0
Marion County,Alabama,01,093,28448.0
Marshall County,Alabama,01,095,86785.0
Mobile County,Alabama,01,097,248566.0
Monroe County,Alabama,01,099,12315.0
Montgomery County,Alabama,01,101,88800.0
Morgan County,Alabama,01,103,99051.0
Perry County,Alabama,01,105,3075.0
Pickens County,Alabama,01,107,11155.0
Pike County,Alabama,01,109,19188.0
Randolph County,Alabama,01,111,17486.0
Russell County,Alabama,01,113,31032.0
Saint Clair County,Alabama,01,115,75040.0
Shelby County,Alabama,01,117,165486.0
Sumter County,Alabama,01,119,3335.0
Talladega County,Alabama,01,121,52661.0
Tallapoosa County,Alabama,01,123,28928.0
Tuscaloosa County,Alabama,01,125,132600.0
Walker County,Alabama,01,127,60067.0
