County,State,State_FIPS,County_FIPS,white_population
Autauga County,Alabama,01,001,42031
Baldwin County,Alabama,01,003,151453
Barbour County,Alabama,01,005,13759
Bibb County,Alabama,01,007,19038
Blount County,Alabama,01,009,53938
Bullock County,Alabama,01,011,2589
Butler County,Alabama,01,013,11493
Calhoun County,Alabama,01,015,88451
Chambers County,Alabama,01,017,20425
Cherokee County,Alabama,01,019,23842
Chilton County,Alabama,01,021,37736
Choctaw County,Alabama,01,023,7823
Clarke County,Alabama,01,025,14451
Clay County,Alabama,01,027,11562
Cleburne County,Alabama,01,029,13983
Coffee County,Alabama,01,031,37460
Colbert County,Alabama,01,033,44325
Conecuh County,Alabama,01,035,6972
Coosa County,Alabama,01,037,7517
Covington County,Alabama,01,039,31901
Crenshaw County,Alabama,01,041,10196
Cullman County,Alabama,01,043,76819
Dale County,Alabama,01,045,37298
Dallas County,Alabama,01,047,13226
DeKalb County,Alabama,01,049,64779
Elmore County,Alabama,01,051,59044
Escambia County,Alabama,01,053,24065
Etowah County,Alabama,01,055,85437
Fayette County,Alabama,01,057,15128
Franklin County,Alabama,01,059,27392
Geneva County,Alabama,01,061,23154
Greene County,Alabama,01,063,1663
Hale County,Alabama,01,065,6457
Henry County,Alabama,01,067,11673
Houston County,Alabama,01,069,69839
Jackson County,Alabama,01,071,49167
Jefferson County,Alabama,01,073,358121
Lamar County,Alabama,01,075,12824
Lauderdale County,Alabama,01,077,80106
Lawrence County,Alabama,01,079,26727
Lee County,Alabama,01,081,98194
Limestone County,Alabama,01,083,65164
Lowndes County,Alabama,01,085,3020
Macon County,Alabama,01,087,3269
Madison County,Alabama,01,089,225860
Marengo County,Alabama,01,091,9762
Marion County,Alabama,01,093,28844
Marshall County,Alabama,01,095,85322
Mobile County,Alabama,01,097,250336
Monroe County,Alabama,01,099,12981
Montgomery County,Alabama,01,101,95733
Morgan County,Alabama,01,103,97135
Perry County,Alabama,01,105,3176
Pickens County,Alabama,01,107,11332
Pike County,Alabama,01,109,18967
Randolph County,Alabama,01,111,17609
Russell County,Alabama,01,113,28082
Saint Clair County,Alabama,01,115,72052
Shelby County,Alabama,01,117,158707
Sumter County,Alabama,01,119,3381
Talladega County,Alabama,01,121,54116
Tallapoosa County,Alabama,01,123,29573
Tuscaloosa County,Alabama,01,125,126696
Walker County,Alabama,01,127,62143
Washington County,Alabama,01,129,11466
Wilcox County,Alabama,01,131,3229
Winston County,Alabama,01,133,23904
Anchorage Municipality,Alaska,02,020,192878
Bethel Census Area,Alaska,02,050,2031
Bristol Bay Borough,Alaska,02,060,498
Fairbanks North Star Borough,Alaska,02,090,73329
Haines Borough,Alaska,02,100,1356
Juneau City and Borough,Alaska,02,110,21784
Kenai Peninsula Borough,Alaska,02,122,45900
Kodiak Island Borough,Alaska,02,150,7552
Matanuska-Susitna Borough,Alaska,02,170,72089
Nome Census Area,Alaska,02,180,1577
North Slope Borough,Alaska,02,185,994
Sitka City and Borough,Alaska,02,220,5887
Southeast Fairbanks Census Area,Alaska,02,240,5648
Valdez-Cordova Census Area,Alaska,02,261,6994
Wade Hampton Census Area,Alaska,02,270,246
