County,State,State_FIPS,County_FIPS,white_population
Autauga County,Alabama,01,001,42997
Baldwin County,Alabama,01,003,161737
Barbour County,Alabama,01,005,12960
Bibb County,Alabama,01,007,17461
Blount County,Alabama,01,009,54890
Bullock County,Alabama,01,011,3001
Butler County,Alabama,01,013,11300
Calhoun County,Alabama,01,015,88358
Chambers County,Alabama,01,017,19881
Cherokee County,Alabama,01,019,24216
Chilton County,Alabama,01,021,37447
Choctaw County,Alabama,01,023,7621
Clarke County,Alabama,01,025,13798
Clay County,Alabama,01,027,11240
Cleburne County,Alabama,01,029,14143
Coffee County,Alabama,01,031,38896
Colbert County,Alabama,01,033,43672
Conecuh County,Alabama,01,035,6836
Coosa County,Alabama,01,037,7587
Covington County,Alabama,01,039,31992
Crenshaw County,Alabama,01,041,10131
Cullman County,Alabama,01,043,77157
Dale County,Alabama,01,045,37616
Dallas County,Alabama,01,047,12600
DeKalb County,Alabama,01,049,64749
Elmore County,Alabama,01,051,60425
Escambia County,Alabama,01,053,23832
Etowah County,Alabama,01,055,85307
Fayette County,Alabama,01,057,14813
Franklin County,Alabama,01,059,27962
Geneva County,Alabama,01,061,23304
Greene County,Alabama,01,063,1583
Hale County,Alabama,01,065,6207
Henry County,Alabama,01,067,11992
Houston County,Alabama,01,069,71505
Jackson County,Alabama,01,071,48888
Jefferson County,Alabama,01,073,350375
Lamar County,Alabama,01,075,12564
Lauderdale County,Alabama,01,077,80627
Lawrence County,Alabama,01,079,26379
Lee County,Alabama,01,081,102363
Limestone County,Alabama,01,083,69430
Lowndes County,Alabama,01,085,2839
Macon County,Alabama,01,087,3407
Madison County,Alabama,01,089,234776
Marengo County,Alabama,01,091,9629
Marion County,Alabama,01,093,28766
Marshall County,Alabama,01,095,87150
Mobile County,Alabama,01,097,250269
Monroe County,Alabama,01,099,12572
Montgomery County,Alabama,01,101,91811
Morgan County,Alabama,01,103,99090
Perry County,Alabama,01,105,3142
Pickens County,Alabama,01,107,11149
Pike County,Alabama,01,109,19429
Randolph County,Alabama,01,111,17527
Russell County,Alabama,01,113,29925
Saint Clair County,Alabama,01,115,74696
Shelby County,Alabama,01,117,163385
Sumter County,Alabama,01,119,3361
Talladega County,Alabama,01,121,53548
Tallapoosa County,Alabama,01,123,29333
Tuscaloosa County,Alabama,01,125,131877
