County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Autauga County,Alabama,01,001,25.0
Baldwin County,Alabama,01,003,30.7
Barbour County,Alabama,01,005,12.0
Bibb County,Alabama,01,007,13.2
Blount County,Alabama,01,009,13.1
Bullock County,Alabama,01,011,13.4
Butler County,Alabama,01,013,16.1
Calhoun County,Alabama,01,015,17.9
Chambers County,Alabama,01,017,13.3
Cherokee County,Alabama,01,019,12.5
Chilton County,Alabama,01,021,15.1
Choctaw County,Alabama,01,023,11.6
Clarke County,Alabama,01,025,13.0
Clay County,Alabama,01,027,10.3
Cleburne County,Alabama,01,029,12.4
Coffee County,Alabama,01,031,22.7
Colbert County,Alabama,01,033,18.8
Conecuh County,Alabama,01,035,8.8
Coosa County,Alabama,01,037,11.0
Covington County,Alabama,01,039,15.5
Crenshaw County,Alabama,01,041,16.3
Cullman County,Alabama,01,043,14.9
Dale County,Alabama,01,045,16.8
Dallas County,Alabama,01,047,14.2
DeKalb County,Alabama,01,049,13.0
Elmore County,Alabama,01,051,22.8
Escambia County,Alabama,01,053,12.1
Etowah County,Alabama,01,055,16.9
Fayette County,Alabama,01,057,14.6
Franklin County,Alabama,01,059,13.4
Geneva County,Alabama,01,061,11.1
Greene County,Alabama,01,063,11.4
Hale County,Alabama,01,065,14.4
Henry County,Alabama,01,067,17.1
Houston County,Alabama,01,069,20.9
Jackson County,Alabama,01,071,13.4
Jefferson County,Alabama,01,073,31.9
Lamar County,Alabama,01,075,13.3
Lauderdale County,Alabama,01,077,22.5
Lawrence County,Alabama,01,079,10.2
Lee County,Alabama,01,081,34.9
Limestone County,Alabama,01,083,24.6
Lowndes County,Alabama,01,085,13.7
Macon County,Alabama,01,087,20.1
Madison County,Alabama,01,089,40.6
Marengo County,Alabama,01,091,15.4
Marion County,Alabama,01,093,13.4
Marshall County,Alabama,01,095,17.7
Mobile County,Alabama,01,097,23.0
Monroe County,Alabama,01,099,12.5
Montgomery County,Alabama,01,101,32.3
Morgan County,Alabama,01,103,20.9
Perry County,Alabama,01,105,16.9
Pickens County,Alabama,01,107,11.8
Pike County,Alabama,01,109,24.7
Randolph County,Alabama,01,111,14.6
Russell County,Alabama,01,113,16.9
Saint Clair County,Alabama,01,115,16.0
Shelby County,Alabama,01,117,42.2
Sumter County,Alabama,01,119,18.2
Talladega County,Alabama,01,121,13.6
Tallapoosa County,Alabama,01,123,18.2
Tuscaloosa County,Alabama,01,125,30.2
Walker County,Alabama,01,127,11.1
Washington County,Alabama,01,129,10.7
Wilcox County,Alabama,01,131,12.0
Winston County,Alabama,01,133,12.9
Anchorage Municipality,Alaska,02,020,34.6
Bethel Census Area,Alaska,02,050,12.6
Bristol Bay Borough,Alaska,02,060,20.3
Fairbanks North Star Borough,Alaska,02,090,33.1
Haines Borough,Alaska,02,100,34.7
Juneau City and Borough,Alaska,02,110,40.3
Kenai Peninsula Borough,Alaska,02,122,24.1
Kodiak Island Borough,Alaska,02,150,24.1
Matanuska-Susitna Borough,Alaska,02,170,20.6
Nome Census Area,Alaska,02,180,14.0
North Slope Borough,Alaska,02,185,15.3
Sitka City and Borough,Alaska,02,220,32.9
Southeast Fairbanks Census Area,Alaska,02,240,19.5
Valdez-Cordova Census Area,Alaska,02,261,32.7
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,10.8
Aleutians East Borough,Alaska,02,013,11.5
Aleutians West Census Area,Alaska,02,016,16.2
Dillingham Census Area,Alaska,02,070,17.4
Lake and Peninsula Borough,Alaska,02,164,16.0
Denali Borough,Alaska,02,068,44.5
Yukon-Koyukuk Census Area,Alaska,02,290,12.4
Hoonah-Angoon Census Area,Alaska,02,105,21.9
Skagway Municipality,Alaska,02,230,32.2
Yakutat City and Borough,Alaska,02,282,19.6
Ketchikan Gateway Borough,Alaska,02,130,24.1
Petersburg Borough,Alaska,02,195,26.5
Prince of Wales-Hyder Census Area,Alaska,02,198,16.8
Wrangell City and Borough,Alaska,02,275,19.4
Apache County,Arizona,04,001,11.5
Cochise County,Arizona,04,003,23.6
Coconino County,Arizona,04,005,35.4
Gila County,Arizona,04,007,19.0
Graham County,Arizona,04,009,14.1
Greenlee County,Arizona,04,011,12.1
Maricopa County,Arizona,04,013,31.4
Mohave County,Arizona,04,015,12.3
Navajo County,Arizona,04,017,15.5
Pima County,Arizona,04,019,31.6
Pinal County,Arizona,04,021,18.6
Santa Cruz County,Arizona,04,023,22.1
Yavapai County,Arizona,04,025,25.0
La Paz County,Arizona,04,012,11.2
Yuma County,Arizona,04,027,14.3
Arkansas County,Arkansas,05,001,14.1
Ashley County,Arkansas,05,003,13.4
Baxter County,Arkansas,05,005,18.4
Benton County,Arkansas,05,007,31.7
Boone County,Arkansas,05,009,16.2
Bradley County,Arkansas,05,011,14.4
Calhoun County,Arkansas,05,013,12.3
Carroll County,Arkansas,05,015,19.3
Chicot County,Arkansas,05,017,13.2
Clark County,Arkansas,05,019,26.4
Clay County,Arkansas,05,021,10.7
Cleburne County,Arkansas,05,023,15.9
Cleveland County,Arkansas,05,025,17.0
Columbia County,Arkansas,05,027,21.5
Conway County,Arkansas,05,029,15.8
Craighead County,Arkansas,05,031,26.5
Crawford County,Arkansas,05,033,14.5
Crittenden County,Arkansas,05,035,16.9
Cross County,Arkansas,05,037,13.8
Dallas County,Arkansas,05,039,14.1
Desha County,Arkansas,05,041,12.6
Drew County,Arkansas,05,043,18.5
Faulkner County,Arkansas,05,045,29.7
Franklin County,Arkansas,05,047,11.3
Fulton County,Arkansas,05,049,12.1
Garland County,Arkansas,05,051,20.1
Grant County,Arkansas,05,053,19.0
Greene County,Arkansas,05,055,16.1
Hempstead County,Arkansas,05,057,13.1
Hot Spring County,Arkansas,05,059,13.8
Howard County,Arkansas,05,061,15.3
Independence County,Arkansas,05,063,18.0
Izard County,Arkansas,05,065,12.9
Jackson County,Arkansas,05,067,9.2
Jefferson County,Arkansas,05,069,16.8
Johnson County,Arkansas,05,071,15.7
Lafayette County,Arkansas,05,073,15.0
Lawrence County,Arkansas,05,075,15.5
Lee County,Arkansas,05,077,8.4
Lincoln County,Arkansas,05,079,7.9
Little River County,Arkansas,05,081,10.3
Logan County,Arkansas,05,083,12.0
Lonoke County,Arkansas,05,085,20.1
Madison County,Arkansas,05,087,11.6
Marion County,Arkansas,05,089,16.0
Miller County,Arkansas,05,091,15.8
Mississippi County,Arkansas,05,093,12.2
Monroe County,Arkansas,05,095,9.3
Montgomery County,Arkansas,05,097,12.3
Nevada County,Arkansas,05,099,17.0
Newton County,Arkansas,05,101,15.7
Ouachita County,Arkansas,05,103,15.3
Perry County,Arkansas,05,105,12.9
Phillips County,Arkansas,05,107,11.3
Pike County,Arkansas,05,109,14.9
Poinsett County,Arkansas,05,111,9.8
Polk County,Arkansas,05,113,12.5
Pope County,Arkansas,05,115,22.2
Prairie County,Arkansas,05,117,13.8
Pulaski County,Arkansas,05,119,33.7
Randolph County,Arkansas,05,121,14.5
Saint Francis County,Arkansas,05,123,9.5
Saline County,Arkansas,05,125,25.5
Scott County,Arkansas,05,127,10.2
Searcy County,Arkansas,05,129,13.1
Sebastian County,Arkansas,05,131,19.0
Sevier County,Arkansas,05,133,10.6
Sharp County,Arkansas,05,135,10.5
Stone County,Arkansas,05,137,13.4
Union County,Arkansas,05,139,20.1
Van Buren County,Arkansas,05,141,12.9
Washington County,Arkansas,05,143,31.9
White County,Arkansas,05,145,20.8
Woodruff County,Arkansas,05,147,11.4
Yell County,Arkansas,05,149,13.7
Alameda County,California,06,001,44.7
Alpine County,California,06,003,25.6
Amador County,California,06,005,22.1
Butte County,California,06,007,26.6
Calaveras County,California,06,009,19.3
Colusa County,California,06,011,15.7
Contra Costa County,California,06,013,40.7
Del Norte County,California,06,015,14.4
El Dorado County,California,06,017,33.3
Fresno County,California,06,019,20.1
Glenn County,California,06,021,13.0
Humboldt County,California,06,023,29.4
Imperial County,California,06,025,14.3
Inyo County,California,06,027,25.3
Kern County,California,06,029,15.8
Kings County,California,06,031,13.0
Lake County,California,06,033,15.3
Lassen County,California,06,035,12.4
Los Angeles County,California,06,037,31.2
Madera County,California,06,039,13.8
Marin County,California,06,041,57.5
Mariposa County,California,06,043,24.4
Mendocino County,California,06,045,24.8
Merced County,California,06,047,13.8
Modoc County,California,06,049,16.6
Mono County,California,06,051,31.5
Monterey County,California,06,053,23.9
Napa County,California,06,055,34.6
Nevada County,California,06,057,35.8
Orange County,California,06,059,39.1
