County,State,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,01,001,12.3
Baldwin County,Alabama,01,003,13.0
Barbour County,Alabama,01,005,26.4
Bibb County,Alabama,01,007,16.5
Blount County,Alabama,01,009,16.5
Bullock County,Alabama,01,011,26.9
Butler County,Alabama,01,013,25.7
Calhoun County,Alabama,01,015,19.6
Chambers County,Alabama,01,017,20.3
Cherokee County,Alabama,01,019,16.4
Chilton County,Alabama,01,021,20.3
Choctaw County,Alabama,01,023,21.0
Clarke County,Alabama,01,025,24.6
Clay County,Alabama,01,027,16.7
Cleburne County,Alabama,01,029,19.6
Coffee County,Alabama,01,031,16.4
Colbert County,Alabama,01,033,16.5
Conecuh County,Alabama,01,035,32.5
Coosa County,Alabama,01,037,15.3
Covington County,Alabama,01,039,19.0
Crenshaw County,Alabama,01,041,18.2
Cullman County,Alabama,01,043,17.1
Dale County,Alabama,01,045,20.5
Dallas County,Alabama,01,047,34.3
DeKalb County,Alabama,01,049,19.8
Elmore County,Alabama,01,051,14.3
Escambia County,Alabama,01,053,25.2
Etowah County,Alabama,01,055,18.4
Fayette County,Alabama,01,057,17.3
Franklin County,Alabama,01,059,22.3
Geneva County,Alabama,01,061,22.8
Greene County,Alabama,01,063,37.9
Hale County,Alabama,01,065,25.9
Henry County,Alabama,01,067,15.3
Houston County,Alabama,01,069,18.9
Jackson County,Alabama,01,071,18.8
Jefferson County,Alabama,01,073,18.1
Lamar County,Alabama,01,075,23.9
Lauderdale County,Alabama,01,077,18.3
Lawrence County,Alabama,01,079,18.3
Lee County,Alabama,01,081,23.0
Limestone County,Alabama,01,083,14.1
Lowndes County,Alabama,01,085,28.7
Macon County,Alabama,01,087,25.5
Madison County,Alabama,01,089,13.3
Marengo County,Alabama,01,091,27.8
Marion County,Alabama,01,093,18.6
Marshall County,Alabama,01,095,20.5
Mobile County,Alabama,01,097,19.5
Monroe County,Alabama,01,099,32.1
Montgomery County,Alabama,01,101,21.3
Morgan County,Alabama,01,103,16.3
Perry County,Alabama,01,105,39.8
Pickens County,Alabama,01,107,23.9
Pike County,Alabama,01,109,25.7
Randolph County,Alabama,01,111,20.6
Russell County,Alabama,01,113,21.5
Saint Clair County,Alabama,01,115,13.7
Shelby County,Alabama,01,117,8.5
Sumter County,Alabama,01,119,36.7
Talladega County,Alabama,01,121,20.8
Tallapoosa County,Alabama,01,123,23.4
Tuscaloosa County,Alabama,01,125,18.0
Walker County,Alabama,01,127,21.9
Washington County,Alabama,01,129,21.6
Wilcox County,Alabama,01,131,34.9
Winston County,Alabama,01,133,20.6
Anchorage Municipality,Alaska,02,020,8.1
Bethel Census Area,Alaska,02,050,26.6
Bristol Bay Borough,Alaska,02,060,7.3
Fairbanks North Star Borough,Alaska,02,090,7.8
Haines Borough,Alaska,02,100,5.3
Juneau City and Borough,Alaska,02,110,7.4
Kenai Peninsula Borough,Alaska,02,122,11.0
Kodiak Island Borough,Alaska,02,150,9.2
Matanuska-Susitna Borough,Alaska,02,170,9.7
Nome Census Area,Alaska,02,180,27.0
North Slope Borough,Alaska,02,185,11.2
