County,State,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,01,001,5.6
Baldwin County,Alabama,01,003,6.3
Barbour County,Alabama,01,005,12.8
Bibb County,Alabama,01,007,7.1
Blount County,Alabama,01,009,6.0
Bullock County,Alabama,01,011,13.3
Butler County,Alabama,01,013,9.8
Calhoun County,Alabama,01,015,11.7
Chambers County,Alabama,01,017,7.5
Cherokee County,Alabama,01,019,5.9
Chilton County,Alabama,01,021,7.9
Choctaw County,Alabama,01,023,13.6
Clarke County,Alabama,01,025,17.1
Clay County,Alabama,01,027,6.6
Cleburne County,Alabama,01,029,7.2
Coffee County,Alabama,01,031,6.2
Colbert County,Alabama,01,033,7.5
Conecuh County,Alabama,01,035,20.4
Coosa County,Alabama,01,037,12.6
Covington County,Alabama,01,039,10.7
Crenshaw County,Alabama,01,041,7.4
Cullman County,Alabama,01,043,6.1
Dale County,Alabama,01,045,10.4
Dallas County,Alabama,01,047,14.9
DeKalb County,Alabama,01,049,6.3
Elmore County,Alabama,01,051,7.5
Escambia County,Alabama,01,053,15.2
Etowah County,Alabama,01,055,8.5
Fayette County,Alabama,01,057,8.8
Franklin County,Alabama,01,059,9.7
Geneva County,Alabama,01,061,10.3
Greene County,Alabama,01,063,18.2
Hale County,Alabama,01,065,12.1
Henry County,Alabama,01,067,7.5
Houston County,Alabama,01,069,8.1
Jackson County,Alabama,01,071,8.6
Jefferson County,Alabama,01,073,8.2
Lamar County,Alabama,01,075,9.5
Lauderdale County,Alabama,01,077,7.6
Lawrence County,Alabama,01,079,8.3
Lee County,Alabama,01,081,6.1
Limestone County,Alabama,01,083,7.9
Lowndes County,Alabama,01,085,12.3
Macon County,Alabama,01,087,15.0
Madison County,Alabama,01,089,7.3
Marengo County,Alabama,01,091,14.1
Marion County,Alabama,01,093,7.6
Marshall County,Alabama,01,095,7.2
Mobile County,Alabama,01,097,8.7
Monroe County,Alabama,01,099,21.8
Montgomery County,Alabama,01,101,8.4
Morgan County,Alabama,01,103,8.9
Perry County,Alabama,01,105,11.7
Pickens County,Alabama,01,107,12.3
Pike County,Alabama,01,109,9.7
Randolph County,Alabama,01,111,8.0
Russell County,Alabama,01,113,9.4
Saint Clair County,Alabama,01,115,6.4
Shelby County,Alabama,01,117,4.6
