County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Autauga County,Alabama,01,001,23.5
Baldwin County,Alabama,01,003,28.7
Barbour County,Alabama,01,005,12.6
Bibb County,Alabama,01,007,10.2
Blount County,Alabama,01,009,12.8
Bullock County,Alabama,01,011,9.6
Butler County,Alabama,01,013,10.5
Calhoun County,Alabama,01,015,16.8
Chambers County,Alabama,01,017,11.4
Cherokee County,Alabama,01,019,10.9
Chilton County,Alabama,01,021,10.2
Choctaw County,Alabama,01,023,9.8
Clarke County,Alabama,01,025,12.0
Clay County,Alabama,01,027,9.1
Cleburne County,Alabama,01,029,7.8
Coffee County,Alabama,01,031,23.6
Colbert County,Alabama,01,033,16.4
Conecuh County,Alabama,01,035,7.9
Coosa County,Alabama,01,037,9.6
Covington County,Alabama,01,039,13.1
Crenshaw County,Alabama,01,041,9.1
Cullman County,Alabama,01,043,13.8
Dale County,Alabama,01,045,19.5
Dallas County,Alabama,01,047,11.3
DeKalb County,Alabama,01,049,10.8
Elmore County,Alabama,01,051,20.6
Escambia County,Alabama,01,053,9.5
Etowah County,Alabama,01,055,16.2
Fayette County,Alabama,01,057,8.4
Franklin County,Alabama,01,059,11.1
Geneva County,Alabama,01,061,6.6
Greene County,Alabama,01,063,3.2
Hale County,Alabama,01,065,8.9
Henry County,Alabama,01,067,13.4
Houston County,Alabama,01,069,20.3
Jackson County,Alabama,01,071,12.2
Jefferson County,Alabama,01,073,29.4
Lamar County,Alabama,01,075,6.9
Lauderdale County,Alabama,01,077,22.2
Lawrence County,Alabama,01,079,10.5
Lee County,Alabama,01,081,31.8
Limestone County,Alabama,01,083,21.1
Lowndes County,Alabama,01,085,13.5
Macon County,Alabama,01,087,19.1
Madison County,Alabama,01,089,41.3
Marengo County,Alabama,01,091,17.6
Marion County,Alabama,01,093,9.1
Marshall County,Alabama,01,095,15.6
Mobile County,Alabama,01,097,18.7
Monroe County,Alabama,01,099,11.2
Montgomery County,Alabama,01,101,31.3
Morgan County,Alabama,01,103,20.4
Perry County,Alabama,01,105,16.3
Pickens County,Alabama,01,107,10.4
Pike County,Alabama,01,109,25.8
Randolph County,Alabama,01,111,11.0
Russell County,Alabama,01,113,10.2
Saint Clair County,Alabama,01,115,13.4
Shelby County,Alabama,01,117,42.0
Sumter County,Alabama,01,119,11.3
Talladega County,Alabama,01,121,11.2
Tallapoosa County,Alabama,01,123,16.6
Tuscaloosa County,Alabama,01,125,24.5
Walker County,Alabama,01,127,10.2
Washington County,Alabama,01,129,7.6
Wilcox County,Alabama,01,131,16.0
Winston County,Alabama,01,133,11.0
Anchorage Municipality,Alaska,02,020,32.7
Bethel Census Area,Alaska,02,050,11.7
Bristol Bay Borough,Alaska,02,060,13.3
Fairbanks North Star Borough,Alaska,02,090,26.3
Haines Borough,Alaska,02,100,31.6
Juneau City and Borough,Alaska,02,110,33.9
Kenai Peninsula Borough,Alaska,02,122,19.7
Kodiak Island Borough,Alaska,02,150,17.1
Matanuska-Susitna Borough,Alaska,02,170,17.7
Nome Census Area,Alaska,02,180,11.8
North Slope Borough,Alaska,02,185,8.9
Sitka City and Borough,Alaska,02,220,29.2
Southeast Fairbanks Census Area,Alaska,02,240,20.6
Valdez-Cordova Census Area,Alaska,02,261,22.2
Wade Hampton Census Area,Alaska,02,270,6.6
Northwest Arctic Borough,Alaska,02,188,10.7
Aleutians East Borough,Alaska,02,013,8.4
Aleutians West Census Area,Alaska,02,016,6.5
Dillingham Census Area,Alaska,02,070,14.0
Lake and Peninsula Borough,Alaska,02,164,10.4
Denali Borough,Alaska,02,068,18.4
Yukon-Koyukuk Census Area,Alaska,02,290,8.8
Hoonah-Angoon Census Area,Alaska,02,105,26.6
Skagway Municipality,Alaska,02,230,32.6
Yakutat City and Borough,Alaska,02,282,13.4
Ketchikan Gateway Borough,Alaska,02,130,24.9
Petersburg Borough,Alaska,02,195,20.1
Prince of Wales-Hyder Census Area,Alaska,02,198,17.0
Wrangell City and Borough,Alaska,02,275,17.2
Apache County,Arizona,04,001,9.0
Cochise County,Arizona,04,003,23.3
Coconino County,Arizona,04,005,30.5
Gila County,Arizona,04,007,17.9
