County,State,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,01,001,11.3
Baldwin County,Alabama,01,003,14.8
Barbour County,Alabama,01,005,16.5
Bibb County,Alabama,01,007,14.5
Blount County,Alabama,01,009,11.9
Bullock County,Alabama,01,011,18.2
Butler County,Alabama,01,013,14.2
Calhoun County,Alabama,01,015,13.8
Chambers County,Alabama,01,017,16.8
Cherokee County,Alabama,01,019,12.8
Chilton County,Alabama,01,021,15.9
Choctaw County,Alabama,01,023,14.2
Clarke County,Alabama,01,025,15.8
Clay County,Alabama,01,027,13.7
Cleburne County,Alabama,01,029,14.2
Coffee County,Alabama,01,031,12.5
Colbert County,Alabama,01,033,12.8
Conecuh County,Alabama,01,035,20.1
Coosa County,Alabama,01,037,14.4
Covington County,Alabama,01,039,15.5
Crenshaw County,Alabama,01,041,12.4
Cullman County,Alabama,01,043,16.0
Dale County,Alabama,01,045,13.9
Dallas County,Alabama,01,047,15.8
DeKalb County,Alabama,01,049,17.1
Elmore County,Alabama,01,051,11.2
Escambia County,Alabama,01,053,20.1
Etowah County,Alabama,01,055,15.6
Fayette County,Alabama,01,057,12.0
Franklin County,Alabama,01,059,17.0
Geneva County,Alabama,01,061,15.4
Greene County,Alabama,01,063,15.1
Hale County,Alabama,01,065,14.4
Henry County,Alabama,01,067,12.3
Houston County,Alabama,01,069,14.4
Jackson County,Alabama,01,071,16.0
Jefferson County,Alabama,01,073,12.8
Lamar County,Alabama,01,075,13.3
Lauderdale County,Alabama,01,077,12.3
Lawrence County,Alabama,01,079,15.0
Lee County,Alabama,01,081,12.8
Limestone County,Alabama,01,083,13.2
Lowndes County,Alabama,01,085,16.4
Macon County,Alabama,01,087,14.1
Madison County,Alabama,01,089,12.5
Marengo County,Alabama,01,091,12.5
Marion County,Alabama,01,093,12.4
Marshall County,Alabama,01,095,17.7
Mobile County,Alabama,01,097,15.9
Monroe County,Alabama,01,099,16.6
Montgomery County,Alabama,01,101,13.2
Morgan County,Alabama,01,103,15.9
Perry County,Alabama,01,105,15.3
