County,State,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,01,001,89.9
Baldwin County,Alabama,01,003,87.0
Barbour County,Alabama,01,005,84.5
Bibb County,Alabama,01,007,90.3
Blount County,Alabama,01,009,88.4
Bullock County,Alabama,01,011,81.9
Butler County,Alabama,01,013,87.7
Calhoun County,Alabama,01,015,88.1
Chambers County,Alabama,01,017,86.1
Cherokee County,Alabama,01,019,90.1
Chilton County,Alabama,01,021,84.0
Choctaw County,Alabama,01,023,86.6
Clarke County,Alabama,01,025,84.8
Clay County,Alabama,01,027,85.6
Cleburne County,Alabama,01,029,86.3
Coffee County,Alabama,01,031,88.4
Colbert County,Alabama,01,033,88.9
Conecuh County,Alabama,01,035,79.2
Coosa County,Alabama,01,037,84.5
Covington County,Alabama,01,039,86.7
Crenshaw County,Alabama,01,041,87.7
Cullman County,Alabama,01,043,85.0
Dale County,Alabama,01,045,86.6
Dallas County,Alabama,01,047,86.0
DeKalb County,Alabama,01,049,83.1
Elmore County,Alabama,01,051,90.6
Escambia County,Alabama,01,053,81.5
Etowah County,Alabama,01,055,86.9
Fayette County,Alabama,01,057,90.5
Franklin County,Alabama,01,059,84.2
Geneva County,Alabama,01,061,84.6
Greene County,Alabama,01,063,85.4
Hale County,Alabama,01,065,87.7
Henry County,Alabama,01,067,87.7
Houston County,Alabama,01,069,87.2
Jackson County,Alabama,01,071,85.7
Jefferson County,Alabama,01,073,88.2
Lamar County,Alabama,01,075,86.7
Lauderdale County,Alabama,01,077,88.7
Lawrence County,Alabama,01,079,88.6
Lee County,Alabama,01,081,89.5
Limestone County,Alabama,01,083,87.4
Lowndes County,Alabama,01,085,86.4
Macon County,Alabama,01,087,87.6
Madison County,Alabama,01,089,88.1
Marengo County,Alabama,01,091,88.0
Marion County,Alabama,01,093,88.2
Marshall County,Alabama,01,095,83.1
Mobile County,Alabama,01,097,85.8
Monroe County,Alabama,01,099,83.1
Montgomery County,Alabama,01,101,87.1
Morgan County,Alabama,01,103,85.3
Perry County,Alabama,01,105,85.6
Pickens County,Alabama,01,107,87.0
Pike County,Alabama,01,109,89.3
Randolph County,Alabama,01,111,85.7
Russell County,Alabama,01,113,83.7
Saint Clair County,Alabama,01,115,89.4
Shelby County,Alabama,01,117,91.1
Sumter County,Alabama,01,119,80.8
Talladega County,Alabama,01,121,87.3
Tallapoosa County,Alabama,01,123,88.1
Tuscaloosa County,Alabama,01,125,89.7
Walker County,Alabama,01,127,86.5
Washington County,Alabama,01,129,84.5
Wilcox County,Alabama,01,131,83.6
Winston County,Alabama,01,133,86.6
Anchorage Municipality,Alaska,02,020,84.5
Bethel Census Area,Alaska,02,050,74.4
Bristol Bay Borough,Alaska,02,060,80.1
Fairbanks North Star Borough,Alaska,02,090,86.8
Haines Borough,Alaska,02,100,74.5
Juneau City and Borough,Alaska,02,110,85.5
Kenai Peninsula Borough,Alaska,02,122,78.8
Kodiak Island Borough,Alaska,02,150,74.4
Matanuska-Susitna Borough,Alaska,02,170,81.6
Nome Census Area,Alaska,02,180,71.8
North Slope Borough,Alaska,02,185,77.5
Sitka City and Borough,Alaska,02,220,82.5
Southeast Fairbanks Census Area,Alaska,02,240,77.9
Valdez-Cordova Census Area,Alaska,02,261,76.9
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,67.9
Aleutians East Borough,Alaska,02,013,43.7
Aleutians West Census Area,Alaska,02,016,75.8
Dillingham Census Area,Alaska,02,070,70.9
Lake and Peninsula Borough,Alaska,02,164,65.0
Denali Borough,Alaska,02,068,74.8
Yukon-Koyukuk Census Area,Alaska,02,290,62.1
