County,State,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,01,001,91.1
Baldwin County,Alabama,01,003,88.2
Barbour County,Alabama,01,005,87.0
Bibb County,Alabama,01,007,91.0
Blount County,Alabama,01,009,88.8
Bullock County,Alabama,01,011,83.3
Butler County,Alabama,01,013,88.2
Calhoun County,Alabama,01,015,89.1
Chambers County,Alabama,01,017,88.2
Cherokee County,Alabama,01,019,90.5
Chilton County,Alabama,01,021,84.2
Choctaw County,Alabama,01,023,88.5
Clarke County,Alabama,01,025,86.7
Clay County,Alabama,01,027,87.1
Cleburne County,Alabama,01,029,86.2
Coffee County,Alabama,01,031,89.3
Colbert County,Alabama,01,033,90.9
Conecuh County,Alabama,01,035,80.9
Coosa County,Alabama,01,037,87.4
Covington County,Alabama,01,039,87.6
Crenshaw County,Alabama,01,041,88.7
Cullman County,Alabama,01,043,85.5
Dale County,Alabama,01,045,86.9
Dallas County,Alabama,01,047,87.5
DeKalb County,Alabama,01,049,84.0
Elmore County,Alabama,01,051,91.2
Escambia County,Alabama,01,053,82.4
Etowah County,Alabama,01,055,87.9
Fayette County,Alabama,01,057,91.6
Franklin County,Alabama,01,059,85.9
Geneva County,Alabama,01,061,85.3
Greene County,Alabama,01,063,86.0
Hale County,Alabama,01,065,88.9
Henry County,Alabama,01,067,88.5
Houston County,Alabama,01,069,87.9
Jackson County,Alabama,01,071,88.1
Jefferson County,Alabama,01,073,89.1
Lamar County,Alabama,01,075,87.3
Lauderdale County,Alabama,01,077,89.0
Lawrence County,Alabama,01,079,89.0
Lee County,Alabama,01,081,90.5
Limestone County,Alabama,01,083,87.5
Lowndes County,Alabama,01,085,87.3
Macon County,Alabama,01,087,89.2
Madison County,Alabama,01,089,89.7
Marengo County,Alabama,01,091,87.8
Marion County,Alabama,01,093,90.4
Marshall County,Alabama,01,095,84.6
Mobile County,Alabama,01,097,86.8
Monroe County,Alabama,01,099,83.6
Montgomery County,Alabama,01,101,87.9
Morgan County,Alabama,01,103,87.4
Perry County,Alabama,01,105,84.6
Pickens County,Alabama,01,107,88.9
Pike County,Alabama,01,109,89.4
Randolph County,Alabama,01,111,88.1
Russell County,Alabama,01,113,84.8
Saint Clair County,Alabama,01,115,91.0
Shelby County,Alabama,01,117,91.8
Sumter County,Alabama,01,119,81.8
Talladega County,Alabama,01,121,88.9
Tallapoosa County,Alabama,01,123,89.3
Tuscaloosa County,Alabama,01,125,90.3
Walker County,Alabama,01,127,87.4
Washington County,Alabama,01,129,86.3
Wilcox County,Alabama,01,131,84.8
Winston County,Alabama,01,133,87.1
Anchorage Municipality,Alaska,02,020,85.5
Bethel Census Area,Alaska,02,050,74.9
Bristol Bay Borough,Alaska,02,060,79.6
Fairbanks North Star Borough,Alaska,02,090,88.4
Haines Borough,Alaska,02,100,76.7
Juneau City and Borough,Alaska,02,110,87.7
Kenai Peninsula Borough,Alaska,02,122,79.8
Kodiak Island Borough,Alaska,02,150,77.3
Matanuska-Susitna Borough,Alaska,02,170,82.6
Nome Census Area,Alaska,02,180,73.2
North Slope Borough,Alaska,02,185,75.1
Sitka City and Borough,Alaska,02,220,81.4
Southeast Fairbanks Census Area,Alaska,02,240,78.2
Valdez-Cordova Census Area,Alaska,02,261,79.1
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,68.9
Aleutians East Borough,Alaska,02,013,48.0
Aleutians West Census Area,Alaska,02,016,78.7
Dillingham Census Area,Alaska,02,070,74.2
Lake and Peninsula Borough,Alaska,02,164,66.1
Denali Borough,Alaska,02,068,76.8
Yukon-Koyukuk Census Area,Alaska,02,290,64.7
Hoonah-Angoon Census Area,Alaska,02,105,74.0
Skagway Municipality,Alaska,02,230,76.6
Yakutat City and Borough,Alaska,02,282,81.0
Ketchikan Gateway Borough,Alaska,02,130,84.5
Petersburg Borough,Alaska,02,195,84.4
Prince of Wales-Hyder Census Area,Alaska,02,198,68.8
Wrangell City and Borough,Alaska,02,275,81.9
Apache County,Arizona,04,001,76.4
Cochise County,Arizona,04,003,89.9
Coconino County,Arizona,04,005,83.6
Gila County,Arizona,04,007,86.0
Graham County,Arizona,04,009,88.7
Greenlee County,Arizona,04,011,88.5
Maricopa County,Arizona,04,013,86.3
Mohave County,Arizona,04,015,86.0
Navajo County,Arizona,04,017,83.2
Pima County,Arizona,04,019,87.7
Pinal County,Arizona,04,021,88.4
Santa Cruz County,Arizona,04,023,84.5
Yavapai County,Arizona,04,025,87.2
La Paz County,Arizona,04,012,87.8
Yuma County,Arizona,04,027,82.0
Arkansas County,Arkansas,05,001,90.5
Ashley County,Arkansas,05,003,87.8
Baxter County,Arkansas,05,005,90.8
Benton County,Arkansas,05,007,88.5
Boone County,Arkansas,05,009,88.6
Bradley County,Arkansas,05,011,85.7
Calhoun County,Arkansas,05,013,87.8
Carroll County,Arkansas,05,015,83.4
Chicot County,Arkansas,05,017,87.2
Clark County,Arkansas,05,019,88.9
Clay County,Arkansas,05,021,88.2
Cleburne County,Arkansas,05,023,86.2
Cleveland County,Arkansas,05,025,90.5
Columbia County,Arkansas,05,027,88.4
Conway County,Arkansas,05,029,89.1
Craighead County,Arkansas,05,031,86.4
Crawford County,Arkansas,05,033,87.2
Crittenden County,Arkansas,05,035,88.5
Cross County,Arkansas,05,037,89.6
Dallas County,Arkansas,05,039,88.5
Desha County,Arkansas,05,041,88.5
Drew County,Arkansas,05,043,87.3
Faulkner County,Arkansas,05,045,88.3
Franklin County,Arkansas,05,047,90.2
Fulton County,Arkansas,05,049,88.6
Garland County,Arkansas,05,051,85.3
Grant County,Arkansas,05,053,90.9
Greene County,Arkansas,05,055,88.2
Hempstead County,Arkansas,05,057,85.4
Hot Spring County,Arkansas,05,059,88.2
Howard County,Arkansas,05,061,84.8
Independence County,Arkansas,05,063,87.0
Izard County,Arkansas,05,065,86.9
Jackson County,Arkansas,05,067,86.3
Jefferson County,Arkansas,05,069,89.5
Johnson County,Arkansas,05,071,87.1
Lafayette County,Arkansas,05,073,86.3
Lawrence County,Arkansas,05,075,87.3
Lee County,Arkansas,05,077,85.7
Lincoln County,Arkansas,05,079,87.3
Little River County,Arkansas,05,081,86.9
Logan County,Arkansas,05,083,89.9
Lonoke County,Arkansas,05,085,89.9
Madison County,Arkansas,05,087,85.1
Marion County,Arkansas,05,089,88.9
Miller County,Arkansas,05,091,84.4
Mississippi County,Arkansas,05,093,86.2
Monroe County,Arkansas,05,095,85.8
Montgomery County,Arkansas,05,097,85.3
Nevada County,Arkansas,05,099,85.2
Newton County,Arkansas,05,101,86.6
Ouachita County,Arkansas,05,103,89.6
Perry County,Arkansas,05,105,89.6
Phillips County,Arkansas,05,107,84.6
Pike County,Arkansas,05,109,85.1
Poinsett County,Arkansas,05,111,86.1
Polk County,Arkansas,05,113,85.0
Pope County,Arkansas,05,115,88.3
Prairie County,Arkansas,05,117,87.9
Pulaski County,Arkansas,05,119,88.4
Randolph County,Arkansas,05,121,86.2
Saint Francis County,Arkansas,05,123,85.3
Saline County,Arkansas,05,125,91.3
Scott County,Arkansas,05,127,89.6
Searcy County,Arkansas,05,129,86.7
