County,State,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,01,001,6.2
Baldwin County,Alabama,01,003,6.6
Barbour County,Alabama,01,005,9.6
Bibb County,Alabama,01,007,9.1
Blount County,Alabama,01,009,7.5
Bullock County,Alabama,01,011,11.2
Butler County,Alabama,01,013,9.5
Calhoun County,Alabama,01,015,11.7
Chambers County,Alabama,01,017,14.2
Cherokee County,Alabama,01,019,12.4
Chilton County,Alabama,01,021,9.1
Choctaw County,Alabama,01,023,13.1
Clarke County,Alabama,01,025,10.0
Clay County,Alabama,01,027,10.9
Cleburne County,Alabama,01,029,12.9
Coffee County,Alabama,01,031,7.5
Colbert County,Alabama,01,033,7.4
Conecuh County,Alabama,01,035,12.6
Coosa County,Alabama,01,037,11.0
Covington County,Alabama,01,039,8.9
Crenshaw County,Alabama,01,041,8.6
Cullman County,Alabama,01,043,7.8
Dale County,Alabama,01,045,7.6
Dallas County,Alabama,01,047,15.2
DeKalb County,Alabama,01,049,8.6
Elmore County,Alabama,01,051,8.1
Escambia County,Alabama,01,053,10.3
Etowah County,Alabama,01,055,10.1
Fayette County,Alabama,01,057,6.7
Franklin County,Alabama,01,059,8.1
Geneva County,Alabama,01,061,7.6
Greene County,Alabama,01,063,21.9
Hale County,Alabama,01,065,14.1
Henry County,Alabama,01,067,10.8
Houston County,Alabama,01,069,6.6
Jackson County,Alabama,01,071,7.4
Jefferson County,Alabama,01,073,8.7
Lamar County,Alabama,01,075,9.8
Lauderdale County,Alabama,01,077,8.6
Lawrence County,Alabama,01,079,8.9
Lee County,Alabama,01,081,8.4
Limestone County,Alabama,01,083,7.5
Lowndes County,Alabama,01,085,14.5
Macon County,Alabama,01,087,13.7
Madison County,Alabama,01,089,8.1
Marengo County,Alabama,01,091,11.0
Marion County,Alabama,01,093,7.9
Marshall County,Alabama,01,095,6.4
Mobile County,Alabama,01,097,9.7
Monroe County,Alabama,01,099,10.5
Montgomery County,Alabama,01,101,7.9
Morgan County,Alabama,01,103,8.5
Perry County,Alabama,01,105,15.4
Pickens County,Alabama,01,107,14.1
Pike County,Alabama,01,109,9.2
Randolph County,Alabama,01,111,10.5
Russell County,Alabama,01,113,11.6
Saint Clair County,Alabama,01,115,7.2
Shelby County,Alabama,01,117,5.5
Sumter County,Alabama,01,119,16.6
Talladega County,Alabama,01,121,11.5
Tallapoosa County,Alabama,01,123,9.5
Tuscaloosa County,Alabama,01,125,6.4
Walker County,Alabama,01,127,11.6
Washington County,Alabama,01,129,10.3
Wilcox County,Alabama,01,131,21.7
Winston County,Alabama,01,133,7.7
Anchorage Municipality,Alaska,02,020,7.4
Bethel Census Area,Alaska,02,050,18.5
Bristol Bay Borough,Alaska,02,060,11.4
Fairbanks North Star Borough,Alaska,02,090,7.1
Haines Borough,Alaska,02,100,5.6
Juneau City and Borough,Alaska,02,110,5.8
Kenai Peninsula Borough,Alaska,02,122,8.6
Kodiak Island Borough,Alaska,02,150,5.9
Matanuska-Susitna Borough,Alaska,02,170,9.6
Nome Census Area,Alaska,02,180,17.3
North Slope Borough,Alaska,02,185,24.6
Sitka City and Borough,Alaska,02,220,6.9
Southeast Fairbanks Census Area,Alaska,02,240,13.2
Valdez-Cordova Census Area,Alaska,02,261,10.2
Wade Hampton Census Area,Alaska,02,270,26.5
Northwest Arctic Borough,Alaska,02,188,26.3
Aleutians East Borough,Alaska,02,013,3.4
Aleutians West Census Area,Alaska,02,016,1.9
Dillingham Census Area,Alaska,02,070,14.7
Lake and Peninsula Borough,Alaska,02,164,10.3
Denali Borough,Alaska,02,068,1.9
Yukon-Koyukuk Census Area,Alaska,02,290,24.2
Hoonah-Angoon Census Area,Alaska,02,105,10.2
Skagway Municipality,Alaska,02,230,12.2
Yakutat City and Borough,Alaska,02,282,3.8
Ketchikan Gateway Borough,Alaska,02,130,6.8
Petersburg Borough,Alaska,02,195,4.3
Prince of Wales-Hyder Census Area,Alaska,02,198,11.2
Wrangell City and Borough,Alaska,02,275,6.4
Apache County,Arizona,04,001,15.6
Cochise County,Arizona,04,003,7.7
Coconino County,Arizona,04,005,7.0
Gila County,Arizona,04,007,6.9
Graham County,Arizona,04,009,9.8
Greenlee County,Arizona,04,011,11.7
Maricopa County,Arizona,04,013,7.1
Mohave County,Arizona,04,015,10.8
Navajo County,Arizona,04,017,12.4
Pima County,Arizona,04,019,8.0
Pinal County,Arizona,04,021,7.7
Santa Cruz County,Arizona,04,023,11.7
Yavapai County,Arizona,04,025,7.1
La Paz County,Arizona,04,012,7.1
Yuma County,Arizona,04,027,11.1
Arkansas County,Arkansas,05,001,7.4
Ashley County,Arkansas,05,003,10.2
Baxter County,Arkansas,05,005,7.9
Benton County,Arkansas,05,007,5.3
Boone County,Arkansas,05,009,6.9
Bradley County,Arkansas,05,011,6.6
Calhoun County,Arkansas,05,013,6.7
Carroll County,Arkansas,05,015,7.8
Chicot County,Arkansas,05,017,15.4
Clark County,Arkansas,05,019,9.2
Clay County,Arkansas,05,021,11.8
Cleburne County,Arkansas,05,023,7.3
Cleveland County,Arkansas,05,025,8.2
Columbia County,Arkansas,05,027,11.5
Conway County,Arkansas,05,029,6.5
Craighead County,Arkansas,05,031,8.1
Crawford County,Arkansas,05,033,5.7
Crittenden County,Arkansas,05,035,12.6
Cross County,Arkansas,05,037,7.3
Dallas County,Arkansas,05,039,10.1
Desha County,Arkansas,05,041,13.2
Drew County,Arkansas,05,043,12.3
Faulkner County,Arkansas,05,045,7.0
Franklin County,Arkansas,05,047,7.5
Fulton County,Arkansas,05,049,9.8
Garland County,Arkansas,05,051,8.0
Grant County,Arkansas,05,053,5.0
Greene County,Arkansas,05,055,7.8
Hempstead County,Arkansas,05,057,7.5
Hot Spring County,Arkansas,05,059,10.7
Howard County,Arkansas,05,061,6.6
Independence County,Arkansas,05,063,6.9
Izard County,Arkansas,05,065,7.4
Jackson County,Arkansas,05,067,10.7
Jefferson County,Arkansas,05,069,14.2
Johnson County,Arkansas,05,071,7.7
Lafayette County,Arkansas,05,073,11.6
