County,State,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,01,001,3.7
Baldwin County,Alabama,01,003,4.3
Barbour County,Alabama,01,005,9.2
Bibb County,Alabama,01,007,7.3
Blount County,Alabama,01,009,3.4
Bullock County,Alabama,01,011,3.9
Butler County,Alabama,01,013,6.8
Calhoun County,Alabama,01,015,8.1
Chambers County,Alabama,01,017,3.9
Cherokee County,Alabama,01,019,4.4
Chilton County,Alabama,01,021,6.4
Choctaw County,Alabama,01,023,7.9
Clarke County,Alabama,01,025,12.2
Clay County,Alabama,01,027,5.4
Cleburne County,Alabama,01,029,5.9
Coffee County,Alabama,01,031,5.7
Colbert County,Alabama,01,033,4.4
Conecuh County,Alabama,01,035,9.2
Coosa County,Alabama,01,037,2.9
Covington County,Alabama,01,039,8.4
Crenshaw County,Alabama,01,041,3.4
Cullman County,Alabama,01,043,5.1
Dale County,Alabama,01,045,8.0
Dallas County,Alabama,01,047,11.0
DeKalb County,Alabama,01,049,4.0
Elmore County,Alabama,01,051,4.6
Escambia County,Alabama,01,053,11.0
Etowah County,Alabama,01,055,5.5
Fayette County,Alabama,01,057,6.3
Franklin County,Alabama,01,059,4.8
Geneva County,Alabama,01,061,5.4
Greene County,Alabama,01,063,11.5
Hale County,Alabama,01,065,10.9
Henry County,Alabama,01,067,5.9
Houston County,Alabama,01,069,6.4
Jackson County,Alabama,01,071,5.1
Jefferson County,Alabama,01,073,6.5
Lamar County,Alabama,01,075,8.8
Lauderdale County,Alabama,01,077,4.7
Lawrence County,Alabama,01,079,5.3
Lee County,Alabama,01,081,5.2
Limestone County,Alabama,01,083,6.2
Lowndes County,Alabama,01,085,9.9
Macon County,Alabama,01,087,11.3
Madison County,Alabama,01,089,5.0
Marengo County,Alabama,01,091,8.0
Marion County,Alabama,01,093,5.5
Marshall County,Alabama,01,095,4.3
Mobile County,Alabama,01,097,5.8
Monroe County,Alabama,01,099,15.4
Montgomery County,Alabama,01,101,6.6
Morgan County,Alabama,01,103,5.1
Perry County,Alabama,01,105,10.1
Pickens County,Alabama,01,107,10.3
Pike County,Alabama,01,109,6.1
Randolph County,Alabama,01,111,4.2
Russell County,Alabama,01,113,6.4
Saint Clair County,Alabama,01,115,5.3
Shelby County,Alabama,01,117,3.6
Sumter County,Alabama,01,119,9.7
Talladega County,Alabama,01,121,8.5
Tallapoosa County,Alabama,01,123,9.9
Tuscaloosa County,Alabama,01,125,5.8
Walker County,Alabama,01,127,8.4
Washington County,Alabama,01,129,7.3
Wilcox County,Alabama,01,131,15.3
Winston County,Alabama,01,133,7.3
Anchorage Municipality,Alaska,02,020,5.7
Bethel Census Area,Alaska,02,050,18.4
Bristol Bay Borough,Alaska,02,060,9.7
Fairbanks North Star Borough,Alaska,02,090,6.5
Haines Borough,Alaska,02,100,4.8
Juneau City and Borough,Alaska,02,110,4.6
Kenai Peninsula Borough,Alaska,02,122,7.2
Kodiak Island Borough,Alaska,02,150,5.6
Matanuska-Susitna Borough,Alaska,02,170,9.1
Nome Census Area,Alaska,02,180,17.2
North Slope Borough,Alaska,02,185,9.0
Sitka City and Borough,Alaska,02,220,5.0
Southeast Fairbanks Census Area,Alaska,02,240,11.0
Valdez-Cordova Census Area,Alaska,02,261,3.4
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,18.2
Aleutians East Borough,Alaska,02,013,3.9
Aleutians West Census Area,Alaska,02,016,2.1
Dillingham Census Area,Alaska,02,070,11.9
Lake and Peninsula Borough,Alaska,02,164,15.2
Denali Borough,Alaska,02,068,1.5
Yukon-Koyukuk Census Area,Alaska,02,290,17.0
Hoonah-Angoon Census Area,Alaska,02,105,10.7
Skagway Municipality,Alaska,02,230,6.5
Yakutat City and Borough,Alaska,02,282,5.8
Ketchikan Gateway Borough,Alaska,02,130,5.9
Petersburg Borough,Alaska,02,195,4.1
Prince of Wales-Hyder Census Area,Alaska,02,198,11.3
Wrangell City and Borough,Alaska,02,275,6.6
Apache County,Arizona,04,001,10.5
Cochise County,Arizona,04,003,6.3
Coconino County,Arizona,04,005,7.6
Gila County,Arizona,04,007,8.8
Graham County,Arizona,04,009,8.3
Greenlee County,Arizona,04,011,5.7
Maricopa County,Arizona,04,013,5.0
Mohave County,Arizona,04,015,8.0
Navajo County,Arizona,04,017,12.7
Pima County,Arizona,04,019,7.0
Pinal County,Arizona,04,021,7.1
Santa Cruz County,Arizona,04,023,7.7
Yavapai County,Arizona,04,025,5.7
La Paz County,Arizona,04,012,8.9
Yuma County,Arizona,04,027,10.0
Arkansas County,Arkansas,05,001,5.8
Ashley County,Arkansas,05,003,5.4
Baxter County,Arkansas,05,005,4.6
Benton County,Arkansas,05,007,2.4
Boone County,Arkansas,05,009,4.5
Bradley County,Arkansas,05,011,7.6
Calhoun County,Arkansas,05,013,4.4
Carroll County,Arkansas,05,015,3.7
Chicot County,Arkansas,05,017,9.9
Clark County,Arkansas,05,019,2.0
Clay County,Arkansas,05,021,5.2
Cleburne County,Arkansas,05,023,4.3
Cleveland County,Arkansas,05,025,5.5
Columbia County,Arkansas,05,027,10.9
Conway County,Arkansas,05,029,6.7
Craighead County,Arkansas,05,031,6.2
Crawford County,Arkansas,05,033,4.5
Crittenden County,Arkansas,05,035,8.8
Cross County,Arkansas,05,037,6.1
Dallas County,Arkansas,05,039,3.3
Desha County,Arkansas,05,041,8.2
Drew County,Arkansas,05,043,3.9
Faulkner County,Arkansas,05,045,3.8
Franklin County,Arkansas,05,047,3.1
Fulton County,Arkansas,05,049,5.7
Garland County,Arkansas,05,051,5.5
Grant County,Arkansas,05,053,3.9
Greene County,Arkansas,05,055,7.6
Hempstead County,Arkansas,05,057,4.6
Hot Spring County,Arkansas,05,059,6.0
Howard County,Arkansas,05,061,6.8
Independence County,Arkansas,05,063,4.7
Izard County,Arkansas,05,065,8.6
Jackson County,Arkansas,05,067,7.5
Jefferson County,Arkansas,05,069,9.1
Johnson County,Arkansas,05,071,3.8
Lafayette County,Arkansas,05,073,5.4
Lawrence County,Arkansas,05,075,7.2
Lee County,Arkansas,05,077,12.3
Lincoln County,Arkansas,05,079,2.3
Little River County,Arkansas,05,081,10.0
Logan County,Arkansas,05,083,6.2
Lonoke County,Arkansas,05,085,3.6
Madison County,Arkansas,05,087,4.2
Marion County,Arkansas,05,089,4.8
Miller County,Arkansas,05,091,7.0
Mississippi County,Arkansas,05,093,9.2
Monroe County,Arkansas,05,095,7.5
Montgomery County,Arkansas,05,097,7.6
Nevada County,Arkansas,05,099,5.8
Newton County,Arkansas,05,101,3.5
Ouachita County,Arkansas,05,103,7.8
Perry County,Arkansas,05,105,5.5
Phillips County,Arkansas,05,107,10.6
Pike County,Arkansas,05,109,4.7
Poinsett County,Arkansas,05,111,5.8
Polk County,Arkansas,05,113,9.3
Pope County,Arkansas,05,115,6.4
Prairie County,Arkansas,05,117,7.1
Pulaski County,Arkansas,05,119,4.7
Randolph County,Arkansas,05,121,4.3
Saint Francis County,Arkansas,05,123,6.2
Saline County,Arkansas,05,125,3.7
Scott County,Arkansas,05,127,8.1
Searcy County,Arkansas,05,129,3.8
Sebastian County,Arkansas,05,131,4.8
Sevier County,Arkansas,05,133,5.5
Sharp County,Arkansas,05,135,4.3
Stone County,Arkansas,05,137,6.3
Union County,Arkansas,05,139,5.0
Van Buren County,Arkansas,05,141,7.4
Washington County,Arkansas,05,143,4.8
White County,Arkansas,05,145,5.7
Woodruff County,Arkansas,05,147,7.8
Yell County,Arkansas,05,149,4.2
Alameda County,California,06,001,4.6
Alpine County,California,06,003,12.5
Amador County,California,06,005,6.9
Butte County,California,06,007,8.1
Calaveras County,California,06,009,6.4
Colusa County,California,06,011,4.3
Contra Costa County,California,06,013,5.3
Del Norte County,California,06,015,7.7
El Dorado County,California,06,017,5.5
Fresno County,California,06,019,8.7
Glenn County,California,06,021,5.3
Humboldt County,California,06,023,7.8
Imperial County,California,06,025,14.2
Inyo County,California,06,027,4.1
Kern County,California,06,029,9.8
Kings County,California,06,031,7.6
Lake County,California,06,033,8.7
Lassen County,California,06,035,6.5
Los Angeles County,California,06,037,6.1
Madera County,California,06,039,8.7
Marin County,California,06,041,3.7
Mariposa County,California,06,043,8.3
Mendocino County,California,06,045,8.7
Merced County,California,06,047,11.9
Modoc County,California,06,049,8.6
Mono County,California,06,051,3.4
Monterey County,California,06,053,4.9
Napa County,California,06,055,4.5
Nevada County,California,06,057,4.6
Orange County,California,06,059,4.6
Placer County,California,06,061,4.2
Plumas County,California,06,063,5.4
Riverside County,California,06,065,7.5
Sacramento County,California,06,067,6.5
San Benito County,California,06,069,6.9
San Bernardino County,California,06,071,7.7
San Diego County,California,06,073,6.0
San Francisco County,California,06,075,4.2
San Joaquin County,California,06,077,7.8
