County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Autauga County,Alabama,01,001,24.4
Baldwin County,Alabama,01,003,29.3
Barbour County,Alabama,01,005,13.0
Bibb County,Alabama,01,007,8.2
Blount County,Alabama,01,009,12.0
Bullock County,Alabama,01,011,9.3
Butler County,Alabama,01,013,12.2
Calhoun County,Alabama,01,015,16.3
Chambers County,Alabama,01,017,11.7
Cherokee County,Alabama,01,019,11.9
Chilton County,Alabama,01,021,11.3
Choctaw County,Alabama,01,023,13.1
Clarke County,Alabama,01,025,12.2
Clay County,Alabama,01,027,7.3
Cleburne County,Alabama,01,029,8.5
Coffee County,Alabama,01,031,24.1
Colbert County,Alabama,01,033,17.8
Conecuh County,Alabama,01,035,9.9
Coosa County,Alabama,01,037,8.1
Covington County,Alabama,01,039,13.4
Crenshaw County,Alabama,01,041,9.1
Cullman County,Alabama,01,043,13.7
Dale County,Alabama,01,045,18.1
Dallas County,Alabama,01,047,10.8
DeKalb County,Alabama,01,049,9.3
Elmore County,Alabama,01,051,20.5
Escambia County,Alabama,01,053,10.9
Etowah County,Alabama,01,055,15.0
Fayette County,Alabama,01,057,10.9
Franklin County,Alabama,01,059,11.3
Geneva County,Alabama,01,061,9.9
Greene County,Alabama,01,063,7.1
Hale County,Alabama,01,065,10.3
Henry County,Alabama,01,067,13.7
Houston County,Alabama,01,069,20.2
Jackson County,Alabama,01,071,13.1
Jefferson County,Alabama,01,073,30.0
Lamar County,Alabama,01,075,8.6
Lauderdale County,Alabama,01,077,22.3
Lawrence County,Alabama,01,079,13.8
Lee County,Alabama,01,081,31.9
Limestone County,Alabama,01,083,21.1
Lowndes County,Alabama,01,085,13.0
Macon County,Alabama,01,087,16.6
Madison County,Alabama,01,089,41.2
Marengo County,Alabama,01,091,16.5
Marion County,Alabama,01,093,7.7
Marshall County,Alabama,01,095,16.6
Mobile County,Alabama,01,097,19.1
Monroe County,Alabama,01,099,8.7
Montgomery County,Alabama,01,101,30.8
Morgan County,Alabama,01,103,21.2
Perry County,Alabama,01,105,11.3
Pickens County,Alabama,01,107,8.3
Pike County,Alabama,01,109,23.2
Randolph County,Alabama,01,111,9.7
Russell County,Alabama,01,113,13.3
Saint Clair County,Alabama,01,115,14.0
Shelby County,Alabama,01,117,42.9
Sumter County,Alabama,01,119,13.9
